GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370012702,2010,Tennessee,47,Davidson County,37,12702,1958.79,2251.94,2376,3323,475.89,374.98,287,415,1480.9,1816.96,1994,2589,2,1,12,17,0,19,26,28,0,2,0,5,0,4,5,127,0,34,52,142,22,10,18,164
G4700370012801,2010,Tennessee,47,Davidson County,37,12801,5395.21,5183.06,4835,4944,1132.11,800.02,559,749,4238.1,4270.04,4089,3783,9,10,7,14,11,9,5,17,0,0,0,2,5,50,96,159,0,44,79,220,17,82,143,269
G4700370012802,2010,Tennessee,47,Davidson County,37,12802,4569.51,4507.49,4546,4148,1558.41,1268.34,1260,1161,2969.09,3139.07,3149,2732,8,9.01,18,16,25,26.03,27,25,0,1,2,0,9.01,9,14,97,0,55.04,76,117,31,35,58,161
G4700370013000,2010,Tennessee,47,Davidson County,37,13000,2289.04,2577.05,1938,1650,1261.05,1285.04,960,850,996,1232,931,733,24,17,8,4,2,3,4,8,3,2,0,0,3,11,16,34,0,27,19,21,17,25,53,60
G4700370013100,2010,Tennessee,47,Davidson County,37,13100,1820.49,1776.51,2190,2334,1661.59,1516.66,1460,1329,141.91,162.93,561,718,9,19.99,11,10,3,18.97,60,83,0,0,0,0,4.99,6,62,66,0,51.96,36,128,5,18,93,103
G4700370013201,2010,Tennessee,47,Davidson County,37,13201,3080.57,3064.14,2936,3092,2870.23,2396.73,2159,2036,100.3,213.32,183,147,4,10.01,13,4,98.04,372.03,456,379,0,2,3,0,8,17.02,66,287,0,53.03,56,239,30.01,40.03,152,471
G4700370013202,2010,Tennessee,47,Davidson County,37,13202,3203.1,3180,3287,3472,3093.1,2757,2642,2498,44,207,249,280,23,6,18,11,39,81,122,152,2,4,2,0,2,45,152,279,0,80,102,252,23,103,400,448
G4700370013300,2010,Tennessee,47,Davidson County,37,13300,4168.32,4537.15,4004,5165,3603.88,3407.96,2841,3831,504.45,488.2,634,514,10,33,17,37,36,93,49,116,0,2,1,4,14,393,351,276,0,120,111,387,29,717,693,549
G4700370013400,2010,Tennessee,47,Davidson County,37,13400,4076.88,3590.95,3746,4460,3953.03,3429.28,3542,3975,86,69.21,76,88,14,12.83,8,8,19.84,35,58,86,0,1,0,0,4,13,12,15,0,30.63,50,288,32,54.1,66,140
G4700370013500,2010,Tennessee,47,Davidson County,37,13500,2418.72,2167.91,1936,2398,1065.02,907.01,1115,1695,1283.7,1113.85,727,461,11,12,4,8,42,63,21,45,0,1,1,2,17,32,31,55,0,39.05,37,132,26,51.02,75,116
G4700370013601,2010,Tennessee,47,Davidson County,37,13601,3949.84,4097.08,3616,4078,63.5,72.99,191,741,3834.33,3916.13,3309,3040,7,3,9,20,38,21,13,76,1,6,0,0,6,10,22,76,0,67.95,72,125,16,23.98,43,107
G4700370013602,2010,Tennessee,47,Davidson County,37,13602,2470.1,2761.01,2120,2410,37.46,48,42,853,2426.65,2680,2034,1471,1,5,0,2,3,2,3,7,0,1,0,0,2,2,4,52,0,23,37,25,6,22,27,74
G4700370013700,2010,Tennessee,47,Davidson County,37,13700,5372.01,5203.01,5834,6823,451,306,499,1741,4906.01,4786.01,5053,4435,10,26,9,20,4,10,67,165,1,12,1,3,0,6,24,101,0,57,181,358,8,14,72,260
G4700370013800,2010,Tennessee,47,Davidson County,37,13800,1658.99,1698.99,1623,1464,13,26,33,189,1644.99,1656.99,1550,1153,0,0,2,7,1,7,2,7,0,0,0,0,0,0,1,45,0,9,35,63,6,4,15,55
G4700370013900,2010,Tennessee,47,Davidson County,37,13900,1784.02,1763.02,1646,1662,34,32,70,373,1732.02,1689.01,1533,1140,0,4,4,7,0,1,0,6,0,1,0,0,18,16,3,49,0,20,36,87,19,18,21,119
G4700370014200,2010,Tennessee,47,Davidson County,37,14200,2509.98,2230.98,2249,2418,58,101,102,382,2405.98,2052.99,2065,1887,5,9,6,3,27,26,29,21,0,0,0,3,14,7,14,61,0,35,33,61,22,26,34,82
G4700370014300,2010,Tennessee,47,Davidson County,37,14300,1929.87,1946.81,1816,1761,15,30,93,294,1909.87,1870.81,1655,1277,1,1,1,3,0,5,12,24,0,0,0,5,4,4,9,85,0,36,46,73,9,13,27,114
G4700370014400,2010,Tennessee,47,Davidson County,37,14400,2129.43,2216.5,1250,2574.72,76,300.98,133,1147.53,2049.43,1848.53,1040,1115.47,0,2,7,3,2,17,9,130.35,0,0,0,0,2,23,26,38.92,0,24.99,35,139.45,13.99,43.99,45,112.47
G4700370014800,2010,Tennessee,47,Davidson County,37,14800,3678,3221,3127,2815,53,88,109,162,3595,3028,2881,2470,3,11,10,4,15,4,8,2,4,11,2,0,8,19,32,72,0,60,85,105,17,62,103,96
G4700370015100,2010,Tennessee,47,Davidson County,37,15100,4092.98,4079.98,4026,4119,3955.98,3658.98,3251,2944,105,212,271,352,10,18,19,23,17,44,209,133,1,2,1,0,4,81,182,259,0,64,93,408,43,153,359,518
G4700370015200,2010,Tennessee,47,Davidson County,37,15200,2897.02,2671.02,2578,2588,2793.02,2507.02,2298,2138,59,63,132,115,8,16,15,14,22,21,17,48,0,0,0,2,15,18,58,66,0,46,58,205,31,53,149,213
G4700370015300,2010,Tennessee,47,Davidson County,37,15300,4128.01,4591.7,5804,5922.13,3997.31,4238.3,4823,4505.01,72.41,219,563,682.56,14,13,21,30,39.12,55.4,108,118,0.12,0,3,8,5.06,36,164,149,0,30,122,429.56,24.29,76.61,302,416
G4700370015401,2010,Tennessee,47,Davidson County,37,15401,3786.24,5078.04,5642,5652.72,3417.31,4491.26,4625,4160.71,264,352.9,523,681,19.99,20,22,17,74.93,94.9,165,210.01,0,0,0,4,10,48,173,206,0,70.98,134,374,28,134.97,351,402
G4700370015402,2010,Tennessee,47,Davidson County,37,15402,4312.35,4200.38,4109,4934,4130.79,3746.59,3288,3289,138.66,299.93,489,718,12.94,22.98,18,23,20.98,23,42,81,0,0,1,4,8.98,68,164,337,0,39.89,107,482,57.96,126.89,348,731
G4700370015404,2010,Tennessee,47,Davidson County,37,15404,3313,3408,2926,3115,3125,2962,2235,2005,165,237,335,392,7,12,13,7,14,14,13,46,0,0,0,0,2,117,269,272,0,66,61,393,19,247,428,632
G4700370015405,2010,Tennessee,47,Davidson County,37,15405,3668.44,3871.19,4401,4779,3314.53,3292.13,3274,3052,288.91,408.87,743,916,13,11,16,19,23,49.21,85,105,6,1,6,0,23,50.98,143,264,0,57.99,134,423,48,116.43,290,558
G4700370015501,2010,Tennessee,47,Davidson County,37,15501,3492.99,3613.3,3383,3267.87,3265.69,3089.7,2722,2340.99,192.59,359,402,468.44,5,11,14,12,15.88,60.6,149,135,1.88,2,2,2,11.94,57,47,100,0,34,47,209.44,40.71,117.39,109,192
G4700370015502,2010,Tennessee,47,Davidson County,37,15502,4746,4245,3924,4100,4578,3747,3208,2919,134,304,439,457,7,23,15,22,19,56,41,93,0,3,2,0,8,53,124,219,0,59,95,390,46,141,308,449
G4700370015609,2010,Tennessee,47,Davidson County,37,15609,1058,2749,3411,5236,985,2405,2503,3294,64,224,473,880,3,11,18,24,5,62,295,465,0,1,3,2,1,22,44,141,0,24,75,430,4,55,141,397
G4700370015610,2010,Tennessee,47,Davidson County,37,15610,3904,5243,7820,8947,3663,4591,5993,5992,163,398,1231,1780,17,13,22,41,51,100,300,264,1,3,3,12,9,45,106,239,0,93,165,619,24,116,265,608
G4700370015612,2010,Tennessee,47,Davidson County,37,15612,4849.64,5255.68,6772,8084,4393.64,3825.7,3648,3169,337,985,2366,3079,19,18,25,49,76,151,115,157,4,10,3,2,20,158.99,402,938,0,106.99,213,690,56,299.99,766,1476
G4700370015613,2010,Tennessee,47,Davidson County,37,15613,3992,5317,6223,5270,3465,3070,2851,1762,415,1796,2329,1632,9,27,28,46,83,156,223,293,0,2,4,0,20,190,656,1112,0,76,132,425,59,412,1245,1662
G4700370015614,2010,Tennessee,47,Davidson County,37,15614,2321,3130,4245,4540,1922,1890,2053,1757,316,902,1283,1261,7,11,10,40,53,144,172,187,0,4,10,1,23,113,579,825,0,66,138,469,46,252,978,1344
G4700370015615,2010,Tennessee,47,Davidson County,37,15615,3948,4528,4775,5138,3347,2663,2146,1242,442,1140,1281,1068,7,15,20,88,135,279,196,242,0,4,0,2,17,246,973,1790,0,181,159,706,56,628,1688,2698
G4700370015617,2010,Tennessee,47,Davidson County,37,15617,2574,2638,2368,2480,2329,2008,1503,1385,212,543,723,673,1,9,8,24,23,25,36,37,2,3,0,1,7,6,46,162,0,44,52,198,26,32,119,322
G4700370015618,2010,Tennessee,47,Davidson County,37,15618,5605,5771,5712,6801.18,4590,3603,2966,2555.08,915,1855,2142,2273.06,13,11,22,41,69,133,121,177,0,1,3,9,18,66,300,950.03,0,102,158,796.01,122,155,698,1614.04
G4700370015619,2010,Tennessee,47,Davidson County,37,15619,1930.81,3509,4639,5546,1686.31,2613,2433,2181,212.05,747,1683,2180,6.19,3,11,12,22.35,91,200,224,0.35,2,3,8,3.55,6,156,514,0,47,153,427,18.96,37,324,775
G4700370015620,2010,Tennessee,47,Davidson County,37,15620,4172.19,5844,7033,7521.82,3610.69,3535,2921,2600.92,460.95,1738,3015,2626.94,8.81,19,8,41,71.65,240,132,147,0.65,0,6,2,19.45,204,686,1279.97,0,108,265,823.99,49.04,346,1287,2079.96
G4700370015622,2010,Tennessee,47,Davidson County,37,15622,1410,3013,3913,3845,1221,2364,2835,2280,175,474,719,869,5,14,26,21,5,30,65,106,0,2,7,6,4,88,157,211,0,41,104,352,21,141,369,455
G4700370015623,2010,Tennessee,47,Davidson County,37,15623,3468.56,4866.81,5335,5872,3029.47,3475.87,3363,2889,378.09,1070.13,1429,2072,9,29,21,17,39,87.79,109,163,0,2,1,0,13,102.02,211,247,0,100.01,201,484,39,199.57,457,574
G4700370015624,2010,Tennessee,47,Davidson County,37,15624,2695.74,3665.45,4509,4766,2513.67,2702.69,2890,2502,141.17,790.53,1208,1502,13.81,14.92,20,10,22.06,70.79,87,161,1.4,2,6,5,3.63,42.67,140,219,0,41.84,158,367,17.89,99.43,290,446
G4700370015625,2010,Tennessee,47,Davidson County,37,15625,2776.62,3607.87,4906,5717,2523.69,2924.61,3603,3638,209.83,466.47,951,1232,5.19,17.08,13,14,28.94,111.21,132,155,0.6,2,4,0,8.37,36.34,94,263,0,50.16,109,415,34.11,85.6,213,541
G4700370015626,2010,Tennessee,47,Davidson County,37,15626,2196.15,4371,5820,6737,1837.02,2551,2350,2253,316.5,1353,2645,3078,2.46,14,11,24,17.47,260,206,228,0.84,13,7,3,21.86,93,425,582,0,87,176,569,44.17,226,812,1123
G4700370015627,2010,Tennessee,47,Davidson County,37,15627,1383,1807,2683,3415,1206.78,1228,1164,994,146.59,420,902,952,2.16,1,14,38,19.37,68,150,253,2.16,0,4,1,5.95,53,363,727,0,37,86,450,16.9,111,612,1274
G4700370015628,2010,Tennessee,47,Davidson County,37,15628,1197.84,2793,3224,3744,1038.2,1546,1028,729,127.91,954,1719,2012,6.39,10,13,54,19.16,122,67,77,0,0,4,3,6.19,69,272,496,0,92,121,373,10.92,150,528,771
G4700370015629,2010,Tennessee,47,Davidson County,37,15629,1142,3174,4379,5461,1047,2076,1593,1485,73,861,2169,2707,1,8,7,24,15,134,113,159,2,0,2,0,4,36,346,593,0,59,149,493,16,111,640,971
G4700370015630,2010,Tennessee,47,Davidson County,37,15630,150,647,3189,5457,138,429,1238,1693,6,157,1652,2615,0,1,5,22,5,30,119,329,0,1,6,8,1,10,75,341,0,19,94,449,1,21,194,668
G4700370015631,2010,Tennessee,47,Davidson County,37,15631,1146.04,3958.8,8758,14997,1068.04,2884.88,4451,5992,67,863.12,3035,5455,9,11,29,73,2,78.8,312,440,0,2,10,7,0,51,661,1752,0,68,260,1278,8.18,101.12,1304,2865
G4700370015700,2010,Tennessee,47,Davidson County,37,15700,1555.93,1463,1600,1672,1488.61,1193,1045,893,41.27,156,221,130,4.03,14,10,31,17.03,30,23,29,0,0,0,1,5,28,207,429,0,42,94,159,30.07,53,382,627
G4700370015802,2010,Tennessee,47,Davidson County,37,15802,4719.89,5683.86,5882,6088,3945.91,3642.92,3117,2526,637.97,938.96,1281,1173,21,27,51,133,79,146.99,147,119,2,35,16,10,34,614.99,1071,1569,0,277.99,199,558,79,1405.97,1853,2178
G4700370015803,2010,Tennessee,47,Davidson County,37,15803,2197.11,3223.14,2771,3633.14,1014.09,1300.08,1371,822.05,1081.03,492.04,377,738.02,6,6,26,92.01,65,119.01,10,21,0,2,5,0,31,963.01,800,1531.05,0,341.01,182,429.02,44,1391.03,1324,2166.11
G4700370015804,2010,Tennessee,47,Davidson County,37,15804,3728,3968,4294,4376.86,2957,2463,2469,1640.95,650,906,1096,1548.98,6,12,26,37.99,93,173,115,85,2,6,8,0,20,260,418,733.95,0,148,162,329.98,43,466,886,1093.89
G4700370015900,2010,Tennessee,47,Davidson County,37,15900,3273,2578,2864,3068,2867,2036,2113,1986,338,397,485,510,9,4,13,28,44,44,34,53,1,1,0,1,14,54,144,371,0,42,75,119,47,97,256,530
G4700370016000,2010,Tennessee,47,Davidson County,37,16000,1159,1235,874,978,64,301,108,330,1089,894,704,470,2,2,3,5,1,6,4,16,0,0,0,1,3,21,35,60,0,11,20,96,7,43,36,119
G4700370016100,2010,Tennessee,47,Davidson County,37,16100,2852,2002,2047,2411,1729,907,796,1240,1087,886,1047,861,7,4,6,2,21,111,41,46,0,1,0,0,8,47,120,128,0,46,37,134,21,142,186,209
G4700370016200,2010,Tennessee,47,Davidson County,37,16200,3552.24,3438,3299,3476,405.41,563,823,1468,3069.67,2711,2307,1724,4,4,5,11,66.16,74,50,88,0,0,0,2,7,46,35,48,0,40,79,135,14.83,121,110,129
G4700370016300,2010,Tennessee,47,Davidson County,37,16300,2506,2416,2189,2693,222,426,783,1458,2264,1899,1319,911,7,5,7,7,12,10,31,94,0,0,1,2,1,12,11,54,0,64,37,167,14,32,36,141
G4700370016400,2010,Tennessee,47,Davidson County,37,16400,3208.23,2952.2,4402,5124,2867.21,2555.19,3642,3806,172,96,276,416,9,3,15,14,143.01,204.01,355,518,1,7,2,4,16,21,26,155,0,66,86,211,45,76,183,312
G4700370016500,2010,Tennessee,47,Davidson County,37,16500,4292,5261,4478,4812,3811,4253,3469,2899,248,351,415,539,6,12,16,9,206,473,426,1034,5,4,1,2,16,53,44,55,0,115,107,274,57,191,265,314
G4700370016600,2010,Tennessee,47,Davidson County,37,16600,2142,2240,2436,3612.28,1888,1814,1765,2553.47,166,205,250,399.53,7,9,7,12,75,163,338,361.65,0,0,1,0,6,9,22,44.08,0,40,53,241.55,32,39,107,176.53
G4700370016700,2010,Tennessee,47,Davidson County,37,16700,3603.63,5304.05,5398,5568,3542.48,4986.74,5008,4958,34,80.79,95,114,3,14.14,11,4,15.16,148,181,168,2,3,0,1,7,14,9,55,0,57.37,94,268,37,47.9,79,193
G4700370016800,2010,Tennessee,47,Davidson County,37,16800,4085.59,4260.58,4194,4427,3706.6,3568.59,3584,3509,104,93,71,112,11,8,7,9,244.99,477.99,427,459,1,13,1,3,18,34,26,63,0,66,78,272,48,107,120,201
G4700370016900,2010,Tennessee,47,Davidson County,37,16900,4800.18,4537.22,4514,4752,3846.18,3746.22,3900,4033,847,567,292,186,7,7,17,9,91,118,198,201,0,1,0,1,9,29,38,53,0,69,69,269,56,84,121,189
G4700370017000,2010,Tennessee,47,Davidson County,37,17000,3061.08,3036.99,3865,4567,682.83,1361.17,2843,3561,2311.41,1602.83,856,519,11,6,2,14,47.84,20,63,85,0,5,3,4,8,12,43,172,0,30,55,212,16.17,31,89,235
G4700370017100,2010,Tennessee,47,Davidson County,37,17100,2131.02,2146.35,1749,4194,303.31,532.6,1144,3421,1813.71,1529.76,518,352,0,5,4,9,12,33,35,126,0,0,0,1,2,11,9,53,0,35,39,232,4,23,39,188
G4700370017200,2010,Tennessee,47,Davidson County,37,17200,1890,1607,1335,1766.99,1750,1370,1068,1246.99,100,126,113,113,8,2,5,25,9,10,17,41,2,0,0,1,21,53,113,182,0,46,19,158,30,120,201,310
G4700370017300,2010,Tennessee,47,Davidson County,37,17300,3208.98,3302.97,3368,3287.01,2253.99,2025.98,1768,1540.01,548,453,432,318,6,4,24,43,381.99,367.99,239,172,0,2,1,4,19,334,771,864,0,116,133,346,44,451,1212,1203
G4700370017401,2010,Tennessee,47,Davidson County,37,17401,2192.02,2222.03,2238,2453,1747.01,1471.02,1218,1079,219,318,454,256,1,13,21,40,213.01,75.01,50,72,3,17,1,1,9,209,442,692,0,119,52,313,38,289,670,1121
G4700370017402,2010,Tennessee,47,Davidson County,37,17402,5127,5309,5907,6073,4554,3763,3422,3311,504,704,1116,538,3,11,23,112,50,232,195,194,0,1,1,1,16,458,976,1327,0,140,174,590,42,642,1494,2024
G4700370017500,2010,Tennessee,47,Davidson County,37,17500,2749.79,3092.83,2951,3035,2674.79,2616.85,2112,1864,47.99,210.98,283,213,3,17,15,27,17,58,45,48,2,2,1,3,5,103.99,416,604,0,84,79,276,22,221.99,709,883
G4700370017701,2010,Tennessee,47,Davidson County,37,17701,1999.95,2061.91,2081,2476,1975.95,2007.91,1999,2239,6,6,25,34,0,0,3,5,15,27,38,61,0,1,0,0,3,3,2,22,0,17,14,115,16,15,23,72
G4700370017702,2010,Tennessee,47,Davidson County,37,17702,4348,4177,4382,4983,4256,3988,3928,4438,64,82,252,165,6,8,4,7,19,47,79,123,0,11,1,0,3,13,26,48,0,28,92,202,26,53,73,177
