GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370018901,2010,Tennessee,47,Davidson County,37,18901,2703,2735,2683,3392,2494,2191,2018,2068,182,301,364,400,2,6,8,17,22,97,110,130,0,4,0,1,3,26,89,498,0,110,94,278,26,60,229,703
G4700370018902,2010,Tennessee,47,Davidson County,37,18902,2593,2503,2454,2515,2449,2109,2018,1859,86,183,168,137,2,4,4,23,42,61,63,51,0,2,0,0,14,93,174,208,0,51,27,237,20,123,365,387
G4700370018904,2010,Tennessee,47,Davidson County,37,18904,3269.99,3465.44,3844,4003,2488.33,2262.12,2307,2100,715.69,614.58,671,461,7,11,18,87,53.98,77.87,144,180,2,6,2,0,2.99,100.93,525,775,0,392.94,177,400,17.99,200.9,1121,1342
G4700370018905,2010,Tennessee,47,Davidson County,37,18905,2884.43,3360.32,2898,3511,2494.44,2554.32,1885,1690,326.74,373.69,339,266,6.75,13,43,58,26.75,119.34,121,614,0,0,1,0,29.75,225.24,400,585,0,74.72,109,298,50.75,339.48,794,970
G4700370019003,2010,Tennessee,47,Davidson County,37,19003,3670,4011,5032,4552,2851,2201,2450,1453,741,904,662,766,10,4,21,52,53,104,217,346,1,5,6,5,14,600,1480,1292,0,193,196,638,61,890,2657,2014
G4700370019004,2010,Tennessee,47,Davidson County,37,19004,3603.58,3693.77,4407,4827,2788.48,2362.6,2418,1504,736.11,816.12,737,644,4,7,16,45,63.99,90.01,398,657,2,4,0,9,9,307.03,656,1383,0,107.01,182,585,75,728.04,1516,2005
G4700370019005,2010,Tennessee,47,Davidson County,37,19005,2469.39,3189.72,3172,3503.41,1660.11,1331.81,1045,819.41,685.67,1028.19,1437,1190.15,14.02,22.01,15,37.81,63.54,162.27,159,325.71,1,0,6,0,45.06,500.17,393,664.7,0,145.26,117,465.63,81.03,834.19,684,1178.4
G4700370019006,2010,Tennessee,47,Davidson County,37,19006,3781.61,4414.28,5473,5372.59,2987.89,2512.19,2471,1785.59,583.33,1109.81,1354,915.85,8.98,6.99,19,48.19,170.46,343.73,409,422.29,0,1,10,0,30.94,164.83,999,1588.3,0,275.74,211,612.37,50.97,346.81,1625,2287.6
G4700370019105,2010,Tennessee,47,Davidson County,37,19105,4555.7,4632.18,5502,6311,3900.49,3359.71,3155,2783,560.19,720.27,647,1239,17,6,30,64,50.01,134.11,1038,521,0,8,7,0,28.01,279.04,386,1096,0,125.05,239,608,45.01,460.06,869,1702
G4700370019106,2010,Tennessee,47,Davidson County,37,19106,2891.07,3616.22,3710,4179,2608.06,3038.19,2840,2626,225.01,307.02,442,498,2,3,6,20,36,135.01,164,395,0,1,0,4,20,77,127,291,0,55,131,345,41,172,270,544
